mssv,xeploai,ngaycapvb
b55901aaxpvaibaexe/fejqn8/s5fmzxwptkashb,giỏi,10/04/2018
f40991dexpvaibaexe/dy4k4yiqpobb9bianhvoj,giỏi,10/04/2018
13a5b89fxpvaibaexe/v2df0qjs8besygzfsywqw,giỏi,10/04/2018
933c1fd5xpvaibaexe9m021ivaawilpvfi2513m9,khá,10/04/2018
40ad33bcxpvaibaexe9m021ivaawiphyg7fxj42i,khá,10/04/2018
412dc926xpvaibaexe+5f3nhbx2eh9nfdw3i/18r,khá,10/04/2018
53babcb4xpvaibaexe+5f3nhbx2eh3e+k8+0vrzk,khá,10/04/2018
19af2911xpvaibaexe+5ocrqpdkxspxuhdyfwzxw,giỏi,10/04/2018
ed6ef6c8xpvaibaexe/hpk/kof6+1rerfm4z/+yu,khá,10/04/2018
e6a68052xpvaibaexe8k9ad0yxzupjdibsjzni4k,khá,10/04/2018
8cfe0343xpvaibaexe8jolcsaissto2pm0kvewkn,khá,10/04/2018
efea3d9bxpvaibaexe//3t8+us0x0rwgfbuvj9bi,khá,10/04/2018
a6ea9f79xpvaibaexe/asavnwdrs7dxihpgvggph,khá,10/04/2018
24dc3d8axpvaibaexe8ge2uhv4j4b18quy8ruyi8,khá,10/04/2018
3e437e83xpvaibaexe+cd1fkelqxl3amjmxrtddl,khá,10/04/2018
4d3a7564xpvaibaexe+lo6ejkhwaqxs675wwbm48,khá,10/04/2018
9b47d5aexpvaibaexe8/3inqysorb2yc7gdxyezc,khá,10/04/2018
caf1c679xpvaibaexe+yu1j0ocviqc3aovuiyn2y,trung bình khá,10/04/2018
9060ae5fxpvaibaexe80ggmwunekt7ow9cjiqrpl,khá,10/04/2018
ea3ad08bxpvaibaexe+tfgedwynnvupq6k65n1ls,khá,10/04/2018
9d61c40expvaibaexe+tfgedwynnvtf7bjna2l5v,khá,10/04/2018
ca877136xpvaibaexe8ydgsbcmjqa45mdxmtwxgh,trung bình khá,10/04/2018
e5486db1xpvaibaexe9fiasoce50df0tf/essmjm,khá,10/04/2018
6b09280bxpvaibaexe/uh+ehskmsjbirdfrd3vpi,giỏi,10/04/2018
de4fb5edxpvaibaexe+suupvsau/o6wqrbxtr/gb,khá,10/04/2018
87c0c5b0xpvaibaexe8cym7b6gx+tvmzl5+34nck,khá,10/04/2018
8772f0baxpvaibaexe/xn8kzjn44ctsizlprihmr,giỏi,10/04/2018
7172da6axpvaibaexe/7sxkigc7f5wmwnthruye0,khá,10/04/2018
d76bab82xpvaibaexe+sfu1lch9y38iopnn1vz72,khá,10/04/2018
4ac9f9e4xpvaibaexe+udhzq6i3zlqssbhpvojtf,khá,10/04/2018
954668c3xpvaibaexe9mlbi3ccq2bjdrrpojifym,khá,10/04/2018
364cb864xpvaibaexe/dy4k4yiqpodzikzfrb90m,khá,10/04/2018
5de3d202xpvaibaexe9m021ivaawiawgssaiyxtr,khá,10/04/2018
8c2faa40xpvaibaexe+nmgqbvgcjj+7v2umymm22,khá,10/04/2018
7081fe0axpvaibaexe/wso41+3xfkbwpg5irjavv,khá,10/04/2018
85ab9a11xpvaibaexe+cd1fkelqxl3rmzzdf2nuw,trung bình khá,10/04/2018
81d2ab1fxpvaibaexe/ykalync3m9zttf89k7owj,trung bình khá,10/04/2018
7537f548xpvaibaexe9upvu5dvuc9p8ojugmk9rc,giỏi,10/04/2018
b324aa62xpvaibaexe9h45nafhfkynjpwcuzzmdr,trung bình khá,10/04/2018
fb027ac4xpvaibaexe9h45nafhfkykjc3pvc6xzn,khá,10/04/2018
839a1a0cxpvaibaexe+uqmkxqrwydgr0jndc3vdk,khá,10/04/2018
