mssv,namsinh,gioitinh,noisinh,lopsh,khoa,hedt,khoahoc,chuyennganh,tinhtrang,nambd
dd21c62bxpvaibaexe83rugso94cq9yqkb0ymoar,2001.0,1.0,bình phước,ktpm2019,cnpm,cqui,14.0,d480103,1.0,2019.0
4b6900b0xpvaibaexe83rugso94cq2gzzd1wq+oy,2001.0,1.0,bà rịa - vũng tàu,cntt2019,kttt,cqui,14.0,d480201,1.0,2019.0
d4872d09xpvaibaexe83rugso94cq7h26xglc4xf,2001.0,1.0,khánh hoà,khcl2019.2,khmt,clc,14.0,d480101,5.0,2019.0
698a5619xpvaibaexe83rugso94cq+bte+dhsaet,2001.0,1.0,sóc trăng,cncl2019.2,kttt,clc,14.0,7480201_clcn,1.0,2019.0
a800f35cxpvaibaexe83rugso94cq7qhmxbppgir,2001.0,0.0,đắk lắk,khcl2019.2,khmt,clc,14.0,d480101,1.0,2019.0
290cb431xpvaibaexe83rugso94cqzabpvbri0fj,2001.0,0.0,lâm đồng,cncl2019.2,kttt,clc,14.0,7480201_clcn,1.0,2019.0
48693ef2xpvaibaexe+qa4yv5f0y/pzghopmaxij,2001.0,1.0,hồ chí minh,khcl2019.2,khmt,clc,14.0,d480101,1.0,2019.0
c66f8aa5xpvaibaexe+qa4yv5f0y/rgncmn/llgd,2001.0,1.0,bình định,cncl2019.2,kttt,clc,14.0,7480201_clcn,1.0,2019.0
16b967baxpvaibaexe+qa4yv5f0y/r4oicgchlmv,2001.0,1.0,đồng tháp,htcl2019.1,httt,clc,14.0,d480104,1.0,2019.0
f47d72b7xpvaibaexe+qa4yv5f0y/irn0zwduwqp,2001.0,1.0,đắk lắk,tmcl2019.1,httt,clc,14.0,d480104,1.0,2019.0
d0eb5ec6xpvaibaexe+qa4yv5f0y/voozu4ajiws,2001.0,1.0,hồ chí minh,mmcl2019.1,mmt&tt,clc,14.0,7480102,1.0,2019.0
6b49524cxpvaibaexe+qa4yv5f0y/urhzfxre5yl,2001.0,1.0,tây ninh,cncl2019.2,kttt,clc,14.0,7480201_clcn,1.0,2019.0
2f608a18xpvaibaexe+qa4yv5f0y/s0npyppgxva,2001.0,1.0,hồ chí minh,cttt2019.1,httt,cttt,14.0,d480104,2.0,2019.0
d1399c54xpvaibaexe+qa4yv5f0y/hurpg3eyjre,2001.0,1.0,an giang,httt2019,httt,cqui,14.0,d480104,1.0,2019.0
45964deexpvaibaexe+qa4yv5f0y/njnjnxltr98,2001.0,1.0,thừa thiên - huế,ktpm2019,cnpm,cqui,14.0,d480103,1.0,2019.0
de859e42xpvaibaexe/ggxgrg2iezh/uil68zver,2001.0,1.0,bình dương,mtcl2019.2,ktmt,clc,14.0,d520214,1.0,2019.0
3a1613d5xpvaibaexe/ggxgrg2ieznywwbvdbmiw,2001.0,1.0,an giang,mmtt2019,mmt&tt,cqui,14.0,7480102,1.0,2019.0
e73af5acxpvaibaexe/ggxgrg2iezvql6l3k8fl1,2001.0,1.0,phú yên,pmcl2019.2,cnpm,clc,14.0,d480103,1.0,2019.0
e4c4ef15xpvaibaexe/ggxgrg2iezhcgufszorpj,2001.0,1.0,hồ chí minh,atcl2019.2,mmt&tt,clc,14.0,d480299,1.0,2019.0
5dc7c3a3xpvaibaexe/ggxgrg2iezqfglkfuwzrk,2001.0,1.0,an giang,cncl2019.2,kttt,clc,14.0,7480201_clcn,1.0,2019.0
67019c78xpvaibaexe/ggxgrg2iezketp1n+at4c,2001.0,1.0,an giang,pmcl2019.2,cnpm,clc,14.0,d480103,1.0,2019.0
