mssv,tinhtrang,hocky,namhoc
e0ae8b8axpvaibaexe+7p4ts0/ikvrsgikm58ke9,2.0,2.0,2016.0
8aa98ad2xpvaibaexe8m37suqoe4czpslxtwe9xx,2.0,2.0,2016.0
e5e0d43fxpvaibaexe8/3inqysorb3l2ir3l7h2w,2.0,2.0,2016.0
2bd8acbaxpvaibaexe9fafwyru+nps7tcct3lrtv,2.0,2.0,2016.0
55b2c91axpvaibaexe/bn5cqsu92wvyl6ie3drnz,2.0,2.0,2016.0
b51c8c34xpvaibaexe8k9ad0yxzupvhc8atcqny3,2.0,2.0,2016.0
62f3c56expvaibaexe/jkysbfnj8il4sue5mdkrl,2.0,2.0,2016.0
a475a43cxpvaibaexe9ajzoptpw4tdauvze0de+y,2.0,2.0,2016.0
f240cbebxpvaibaexe8oockqmsrcbvdupmsq9ifx,2.0,2.0,2016.0
7a2f5acexpvaibaexe9j81k8mh0ojwqphwe8hv+i,2.0,2.0,2016.0
6e1ec6e3xpvaibaexe+xw+0gojor0arvnoutmoxn,2.0,2.0,2016.0
5d6c330dxpvaibaexe+tzke2gc8numrwpma+pq4c,2.0,2.0,2016.0
90b4c053xpvaibaexe/iikjq57vd74vq3bu9fhva,2.0,2.0,2016.0
b8ea658fxpvaibaexe9/83vyrk4yzrz+ecciuu+p,2.0,2.0,2016.0
77c65ab4xpvaibaexe9kwpgoh3zhl17zuy0xehsc,2.0,2.0,2016.0
0dd35b47xpvaibaexe80b1fr0fh/jjiagw7ybf/0,2.0,2.0,2016.0
01345052xpvaibaexe80b1fr0fh/ju3gq/hxlb96,2.0,2.0,2016.0
9743cabexpvaibaexe+ygniciymp05yzwgxuiwj3,2.0,2.0,2016.0
6fb8c971xpvaibaexe8zjuwfavbr9syz83phzpbu,2.0,2.0,2016.0
31aebc04xpvaibaexe/twrxaq444c84ycz8+fzai,2.0,2.0,2016.0
fd4d1450xpvaibaexe9tsnflfdewahoresoxlxzp,2.0,2.0,2016.0
0cb28a62xpvaibaexe9iov3kwpg5dxvdpwas/xvs,2.0,2.0,2016.0
61b6bdb1xpvaibaexe81w9evvyp+l9cb1mmqe68y,2.0,2.0,2016.0
