mssv,hocky,namhoc,drl,rank_drl
55b2c91axpvaibaexe/bn5cqsu92wvyl6ie3drnz,2,2013,71,Kha
a51f3de3xpvaibaexe/xn8kzjn44cqkin5uaq1yd,2,2013,92,Xuat Sac
9cb66503xpvaibaexe9e+kue/nflivhlsaedjpcv,2,2013,76,Kha
586f0a4cxpvaibaexe+llvbxzunmjl51ntie4ve7,2,2013,84,Gioi
68e760bfxpvaibaexe8ooyk4mkugmptfj8yrjfyr,2,2013,83,Gioi
dee53b1axpvaibaexe+vl6q6thz0nu5juvpb1ljh,2,2013,70,Kha
4de94f90xpvaibaexe8wmpkqnq7j6hmlgtdas6rl,2,2013,64,Trung Binh
76bbd44bxpvaibaexe99goti/hwjhfnsankwbgh8,2,2013,77,Kha
534f880cxpvaibaexe/caex4rna5qyi8oannuivw,2,2013,100,Xuat Sac
62464061xpvaibaexe/fejqn8/s5fft8ynmvc8wh,2,2013,80,Gioi
3899d7edxpvaibaexe9esuilq3v71guqiuvmmion,2,2013,78,Kha
b0525999xpvaibaexe9hkuc7sboljjymhonwqw00,2,2013,49,Yeu
dd22fd9bxpvaibaexe9hkuc7sboljtgpeghd7ppu,2,2013,100,Xuat Sac
9fc490d1xpvaibaexe/v2df0qjs8bfjmcaagrayd,2,2013,100,Xuat Sac
d591d3e3xpvaibaexe/v2df0qjs8bywtsdi1u4nt,2,2013,57,Trung Binh
13c8a472xpvaibaexe+gstdvgy5pdqvjguckrdcp,2,2013,74,Kha
bcc346c2xpvaibaexe+gstdvgy5pdhgo3+5ztm70,2,2013,86,Gioi
9ef161a4xpvaibaexe+gstdvgy5pditxguafuv/2,2,2013,91,Xuat Sac
2596e527xpvaibaexe/6muscaequcytil5bfx9ym,2,2013,44,Yeu
ec288a3axpvaibaexe/6muscaequc0/hywqgrten,2,2013,82,Gioi
7059f0a4xpvaibaexe+nmgqbvgcjj+pcmvub1n+7,2,2013,54,Trung Binh
a20f7e4axpvaibaexe9jdumjpcat8ihevy7upjj3,2,2013,87,Gioi
add48cd4xpvaibaexe9jdumjpcat8i3gfzuakb+o,2,2013,91,Xuat Sac
78f015a2xpvaibaexe9vickmsmm7n3vfkifwxlkp,2,2013,86,Gioi
93aab5edxpvaibaexe9vickmsmm7n6vxqzd9ofc3,2,2013,78,Kha
b51c8c34xpvaibaexe8k9ad0yxzupvhc8atcqny3,2,2013,69,Kha
cd320653xpvaibaexe//3t8+us0x0ohnyfmw6amh,2,2013,74,Kha
12c24162xpvaibaexe9xnw4t0gpgx9k2sclxkxkl,2,2013,94,Xuat Sac
31d5d488xpvaibaexe85kg8gbehwbxd0x3mi2el8,2,2013,17,Kem
91c557bbxpvaibaexe9x5bpekoa0mhzvi3xnxife,2,2013,64,Trung Binh
7259e977xpvaibaexe86736b6ol+/preemy8fts4,2,2013,100,Xuat Sac
ffdfd671xpvaibaexe8/3inqysorb8gpuwsq8fwa,2,2013,70,Kha
dea3783expvaibaexe+yu1j0ocviqzor0fwybaoj,2,2013,98,Xuat Sac
08890ff6xpvaibaexe+wmtnhlfgiwlwvqajnsgpn,2,2013,69,Kha
91f785abxpvaibaexe/loccskaoio5y4gbvvurqu,2,2013,87,Gioi
2420ed57xpvaibaexe/lh6v1xxtkja6jlfrupklm,2,2013,97,Xuat Sac
a98aef88xpvaibaexe+9gfx9awrorieyel1r5beu,2,2013,88,Gioi
cfc99863xpvaibaexe+9gfx9awrorcvdw61ievzx,2,2013,59,Trung Binh
a23c1291xpvaibaexe+/ekvxk98kbb+vmyyy03py,2,2013,98,Xuat Sac
ab4d8f99xpvaibaexe/ykn5ysyyl7ejerjajk5l+,2,2013,95,Xuat Sac
96967470xpvaibaexe9upvu5dvuc9vy0bll+ov+g,2,2013,98,Xuat Sac
0cbe4487xpvaibaexe+fmxcqgvribaaiapdgkorx,2,2013,59,Trung Binh
3e8beba4xpvaibaexe8ooyk4mkugmlmvinj02p9c,2,2013,79,Kha
3919dcb7xpvaibaexe+5f3nhbx2eh2hsnbno0ctu,2,2013,84,Gioi
d55ebad9xpvaibaexe9z67almz7y5tkcxws/xrjc,2,2013,93,Xuat Sac
2573d935xpvaibaexe/k6d36/fqcefxtyvmtrjcz,2,2013,72,Kha
7b5a6efaxpvaibaexe/k6d36/fqcevv1mxjzbid/,2,2013,80,Gioi
64670803xpvaibaexe9mq7mbxxp/mzxtvck0ygt0,2,2013,87,Gioi
0c4baf73xpvaibaexe9mq7mbxxp/m/xak3s0gd7g,2,2013,90,Xuat Sac
6ada9dbaxpvaibaexe9mq7mbxxp/m2mhonkcucbr,2,2013,60,Trung Binh
c7e7b212xpvaibaexe9mq7mbxxp/m1wiwmomscet,2,2013,63,Trung Binh
33540bd5xpvaibaexe+p6zzp7rb5oczdb2rzfyfl,2,2013,90,Xuat Sac
9e9a38aexpvaibaexe879+aog1gh8jbg5ccj9ksf,2,2013,88,Gioi
32ca7383xpvaibaexe/asavnwdrs7w3j9+tve5zi,2,2013,25,Kem
9095eee4xpvaibaexe93peysajovk2korjqcpxlr,2,2013,85,Gioi
9593c5a1xpvaibaexe93peysajovkwygf+owqhpe,2,2013,63,Trung Binh
98247e19xpvaibaexe93peysajovkxsz+hiviyyj,2,2013,72,Kha
5236793dxpvaibaexe8ge2uhv4j4b3ck3m4mi0jb,2,2013,100,Xuat Sac
53d6b6a5xpvaibaexe9p07hcrvmhcdwevna10bwl,2,2013,37,Yeu
0d5828baxpvaibaexe9p07hcrvmhcf8zveiq5xwl,2,2013,28,Kem
31344271xpvaibaexe9hpqqhqoopyq/t6/ypd1bo,2,2013,83,Gioi
02fa9b28xpvaibaexe9hpqqhqoopyx9isjjx1yiu,2,2013,48,Yeu
2abbe719xpvaibaexe9hpqqhqoopyuj9wju9hlcm,2,2013,80,Gioi
6eb4408fxpvaibaexe+cd1fkelqxl06nwb8jxnux,2,2013,59,Trung Binh
d8b81312xpvaibaexe/pgaannwvbuifmrv3br2wn,2,2013,77,Kha
0df7e48fxpvaibaexe8ckeix0kseel2w5fd8xm6m,2,2013,87,Gioi
e4b6df8fxpvaibaexe8ckeix0kseeovnfnmexxan,2,2013,64,Trung Binh
d3602269xpvaibaexe80ggmwunekt3wj11uigulq,2,2013,66,Kha
314a9efdxpvaibaexe83etin4mi2ntxuuylz7okp,2,2013,60,Trung Binh
ab1f6aa8xpvaibaexe83etin4mi2nszto21zu7z9,2,2013,45,Yeu
5792ef1axpvaibaexe/ykalync3m90v7yzvt+oyp,2,2013,68,Kha
a27e2507xpvaibaexe+yu1j0ocviqqmevvgfizi+,2,2013,73,Kha
66b24040xpvaibaexe+wmtnhlfgiwn9isiemrgpv,2,2013,82,Gioi
12a9523fxpvaibaexe+lwq621apacfiody2wojet,2,2013,100,Xuat Sac
9fda2448xpvaibaexe/loccskaoio4pc+m4anvn4,2,2013,28,Kem
52b1cc2dxpvaibaexe+kwir/vxjl0w+fyuw1abq7,2,2013,83,Gioi
15c33cc5xpvaibaexe+kwir/vxjl0wyohop14jzj,2,2013,77,Kha
c307f053xpvaibaexe+nzbq3b0xehx8pabyu6iv1,2,2013,91,Xuat Sac
667d7118xpvaibaexe9fafwyru+npl+ytdtch0qt,2,2013,76,Kha
2f08e330xpvaibaexe9kdsvv3crkmcuajggb+quv,2,2013,41,Yeu
e69e5181xpvaibaexe+y5cb/5gt3mfjmq2+4vhk0,2,2013,63,Trung Binh
ae2b75f4xpvaibaexe/xbblewrhgqe2t9zswhs9t,2,2013,100,Xuat Sac
b9e5d259xpvaibaexe8vekuw4elehsnoqnbpmwk3,2,2013,77,Kha
589a68cfxpvaibaexe/lh6v1xxtkjfulqjqqhbfu,2,2013,83,Gioi
a1be3e99xpvaibaexe/lh6v1xxtkjbwwcn952swn,2,2013,66,Kha
ae2c4867xpvaibaexe/lh6v1xxtkjdykiejxsiho,2,2013,63,Trung Binh
12bd5a01xpvaibaexe+9gfx9awrorajrjb9cgwii,2,2013,68,Kha
45674dccxpvaibaexe8s1xx8dwm0qiq9m9msgcc6,2,2013,67,Kha
8e49f159xpvaibaexe/ykn5ysyyl7hv6xlbu67/v,2,2013,79,Kha
54be00a9xpvaibaexe/zhdidegqctolkoahgtip9,2,2013,70,Kha
7c8d22ebxpvaibaexe/zhdidegqctmo2ddaannf3,2,2013,86,Gioi
85100785xpvaibaexe9fiasoce50do/iakolpo0o,2,2013,94,Xuat Sac
646e04cfxpvaibaexe8wd3qnvg2b/wkynpmg9hco,2,2013,76,Kha
f8f31d23xpvaibaexe/uh+ehskmsjerjiy7xbtl6,2,2013,70,Kha
a02d332expvaibaexe+suupvsau/o2imqkml5uy5,2,2013,50,Trung Binh
025639c4xpvaibaexe9h45nafhfkyhebg5cfnlvj,2,2013,71,Kha
5666eaf4xpvaibaexe+z7kfnhylttjali+sh+dpo,2,2013,68,Kha
c76005a8xpvaibaexe/x/wixypgyag54zpujwgey,2,2013,77,Kha
9c9d7b29xpvaibaexe9aucnq7/14aosz4ivyo2l6,2,2013,90,Xuat Sac
8a2910eaxpvaibaexe9/su+qlcydmvhvky1urihh,2,2013,72,Kha
34e1582fxpvaibaexe8hvnm4ihlelz0esxtqidlw,2,2013,40,Yeu
c6114925xpvaibaexe/bn5cqsu92wepawyzsqola,2,2013,72,Kha
682c32e0xpvaibaexe/bn5cqsu92wx0dcikdud8d,2,2013,62,Trung Binh
cf7eec79xpvaibaexe/xn8kzjn44cfz96n8o9j1l,2,2013,63,Trung Binh
1d20ed25xpvaibaexe8wlx2/dthdaqwopv1dttl1,2,2013,68,Kha
37e9895dxpvaibaexe9e+kue/nfliak6/ymitssi,2,2013,53,Trung Binh
29026b5fxpvaibaexe+y4ivhjp8sxrc1fkz69ukd,2,2013,84,Gioi
c168db77xpvaibaexe/yxikgsgy0sok5ilvb8bxk,2,2013,51,Trung Binh
134b0e11xpvaibaexe+sfu1lch9y3wqzt5giecfn,2,2013,84,Gioi
ad5f09c2xpvaibaexe+sfu1lch9y3wy+pst0mdf9,2,2013,65,Kha
80e552e4xpvaibaexe+llvbxzunmjkfwh0ij28ry,2,2013,77,Kha
1f285928xpvaibaexe+llvbxzunmji/arkmjtjs5,2,2013,72,Kha
b7c41ebexpvaibaexe+bhzka9xggxtrdrxbwesl+,2,2013,51,Trung Binh
8fad154expvaibaexe/+pcsgi7ykeblbcdoorbeg,2,2013,78,Kha
44cc1f28xpvaibaexe+udhzq6i3zlsroqmrw2di+,2,2013,85,Gioi
8dc6eba8xpvaibaexe+udhzq6i3zlfwewslt5/e/,2,2013,65,Kha
501d7b8dxpvaibaexe+udhzq6i3zletyswamfzzs,2,2013,55,Trung Binh
073017b5xpvaibaexe99goti/hwjhbpv+zjnjoly,2,2013,78,Kha
a94c53d3xpvaibaexe9ctfsnmbfizwaq8b7n0srn,2,2013,96,Xuat Sac
cf64ef5dxpvaibaexe+phkfqb0+xj/i3djee18vw,2,2013,84,Gioi
be044b74xpvaibaexe+phkfqb0+xjzdcpdseglgk,2,2013,47,Yeu
b5555906xpvaibaexe97hu2rthdnnd7ewxgrdfms,2,2013,100,Xuat Sac
7d458579xpvaibaexe/caex4rna5quti1gfapjvu,2,2013,68,Kha
73acb42fxpvaibaexe/caex4rna5quhlvhqz3ryo,2,2013,87,Gioi
19bac22expvaibaexe9fwzbwscouqfxdcibisl6u,2,2013,98,Xuat Sac
7134f004xpvaibaexe9esuilq3v71iw9jk0tchgd,2,2013,79,Kha
20edfe1expvaibaexe9esuilq3v71hhiir/gp7hl,2,2013,65,Kha
6a34dc14xpvaibaexe9hkuc7sboljsk46rkohdvv,2,2013,66,Kha
af0109dexpvaibaexe/bqa0y8r3trft6ynzshpqa,2,2013,53,Trung Binh
25c15555xpvaibaexe9m021ivaawigned3/1o2wj,2,2013,100,Xuat Sac
23a7e8bexpvaibaexe+gstdvgy5pdo2vfa/gyrvk,2,2013,100,Xuat Sac
a3a320d4xpvaibaexe/fwksthrrdnsgvohs1j/id,2,2013,89,Gioi
47babedfxpvaibaexe/fwksthrrdnf6jbfmtxueh,2,2013,52,Trung Binh
b85ae4cfxpvaibaexe/fwksthrrdnyso4depmiwp,2,2013,82,Gioi
8b145b05xpvaibaexe/sxwnrab2vggor/vj8ryyi,2,2013,40,Yeu
47034ce1xpvaibaexe/sxwnrab2vgl+s1t8whhju,2,2013,65,Kha
76f5afd0xpvaibaexe+nmgqbvgcjj9nsowhd2ed/,2,2013,63,Trung Binh
82d67ff0xpvaibaexe9bx5czuia9z+ymynrbj6fr,2,2013,74,Kha
2fda1cbdxpvaibaexe9bx5czuia9z7qfvitgmnow,2,2013,89,Gioi
516d213cxpvaibaexe9jdumjpcat8sqifwybartw,2,2013,65,Kha
fbd9aafexpvaibaexe+5ocrqpdkxsjh0otypdd2y,2,2013,84,Gioi
885dc700xpvaibaexe/ji2wenvgp6pksamumgibm,2,2013,40,Yeu
5118e353xpvaibaexe9vickmsmm7n3k1rpnlximz,2,2013,72,Kha
bbe8e80axpvaibaexe9vickmsmm7n+vpwrw+egmg,2,2013,73,Kha
33d94003xpvaibaexe8k9ad0yxzupntdz6n2af6z,2,2013,67,Kha
