mssv,dien_tt,lop12_matinh,truong_thpt
748cfa2axpvaibaexe9kdsvv3crkmehu/cmv2urx,thpt,63.0,thpt
1c65db23xpvaibaexe9kdsvv3crkmwlqfw5w0dwv,thpt,28.0,thpt
c7c8f4d5xpvaibaexe9kdsvv3crkmtcsnfz1jdkt,thpt,58.0,thpt
618bc5b5xpvaibaexe9kdsvv3crkmbmvps3944tl,thpt,48.0,thpt
2f08e330xpvaibaexe9kdsvv3crkmcuajggb+quv,thpt,44.0,thpt
b3078280xpvaibaexe9kdsvv3crkmr3thedfuzst,thpt,35.0,gdtx
6f3c0d69xpvaibaexe+y5cb/5gt3mg008osd7bbm,thpt,30.0,thpt
62da4cdcxpvaibaexe+y5cb/5gt3mny76+igupff,thpt,46.0,gdtx
e907a4daxpvaibaexe+y5cb/5gt3mmetpei9uuce,thpt,53.0,thpt
844fc6f6xpvaibaexe+y5cb/5gt3mjxemi5bzkp2,thpt,2.0,thpt
088767b5xpvaibaexe+y5cb/5gt3mazxw0jdh9ya,thpt,30.0,thpt
c7ba6541xpvaibaexe+y5cb/5gt3mog0za01mbop,thpt,33.0,thpt
e69e5181xpvaibaexe+y5cb/5gt3mfjmq2+4vhk0,thpt,44.0,thpt
b5e88caexpvaibaexe/xbblewrhgqfjbmw/hcyqy,thpt,56.0,thpt
dac3737axpvaibaexe/xbblewrhgqz1rzdrlzrgy,thpt,48.0,thpt
1dcaca12xpvaibaexe/xbblewrhgqqzvuxc3bpo+,thpt,2.0,thpt
6ebfac96xpvaibaexe/xbblewrhgqxino9yzvs2d,thpt,51.0,thpt
a406e7fdxpvaibaexe/xbblewrhgqyqrazwms21c,thpt,2.0,thpt
26e98335xpvaibaexe/xbblewrhgqtjizublclnr,thpt,2.0,thpt
6bb4fbf8xpvaibaexe/xbblewrhgqyrcodpvca+j,thpt,48.0,thpt
ae2b75f4xpvaibaexe/xbblewrhgqe2t9zswhs9t,thpt,36.0,thpt
90db40ebxpvaibaexe8vekuw4elehq65j34d9pks,thpt,28.0,thpt
b9e5d259xpvaibaexe8vekuw4elehsnoqnbpmwk3,thpt,35.0,gdtx
